MMSI,Longitude,Latitude,Day,delta_time
413185000,117.735,38.955999999999996,1,0
413185000,121.3349999999998,41.83799999999994,1,1647
413185000,121.2849999999998,41.79799999999994,1,1627
413185000,121.2349999999998,41.75799999999994,1,1607
413185000,121.1849999999998,41.71799999999994,1,1587
413185000,121.1349999999998,41.67799999999994,1,1567
413185000,121.08499999999981,41.63799999999994,1,1547
413185000,121.03499999999981,41.59799999999994,1,1527
413185000,120.98499999999981,41.55799999999994,1,1507
413185000,120.93499999999982,41.517999999999944,1,1487
413185000,120.88499999999982,41.477999999999945,1,1467
413185000,120.83499999999982,41.437999999999946,1,1447
413185000,120.78499999999983,41.397999999999946,1,1427
413185000,120.73499999999983,41.35799999999995,1,1407
413185000,120.68499999999983,41.31799999999995,1,1387
413185000,120.63499999999983,41.27799999999995,1,1367
413185000,120.58499999999984,41.23799999999995,1,1347
413185000,120.53499999999984,41.19799999999995,1,1327
413185000,120.48499999999984,41.15799999999995,1,1307
413185000,120.43499999999985,41.11799999999995,1,1287
413185000,120.38499999999985,41.07799999999995,1,1267
413185000,120.33499999999985,41.037999999999954,1,1247
413185000,120.28499999999985,40.997999999999955,1,1227
413185000,120.23499999999986,40.957999999999956,1,1207
413185000,120.18499999999986,40.91799999999996,1,1187
413185000,120.13499999999986,40.87799999999996,1,1167
413185000,120.08499999999987,40.83799999999996,1,1147
413185000,120.03499999999987,40.79799999999996,1,1127
413185000,119.98499999999987,40.75799999999996,1,1107
413185000,119.93499999999987,40.71799999999996,1,1087
413185000,119.88499999999988,40.67799999999996,1,1067
413185000,119.83499999999988,40.63799999999996,1,1047
413185000,119.78499999999988,40.59799999999996,1,1027
413185000,119.73499999999989,40.557999999999964,1,1007
413185000,119.68499999999989,40.517999999999965,1,987
413185000,119.63499999999989,40.477999999999966,1,967
413185000,119.5849999999999,40.43799999999997,1,947
413185000,119.5349999999999,40.39799999999997,1,927
413185000,119.4849999999999,40.35799999999997,1,907
413185000,119.4349999999999,40.31799999999997,1,887
413185000,119.3849999999999,40.27799999999997,1,867
413185000,119.33499999999991,40.23799999999997,1,847
413185000,119.28499999999991,40.19799999999997,1,827
413185000,119.23499999999991,40.15799999999997,1,807
413185000,119.18499999999992,40.117999999999974,1,787
413185000,119.13499999999992,40.077999999999975,1,767
413185000,119.08499999999992,40.037999999999975,1,747
413185000,119.03499999999993,39.997999999999976,1,727
413185000,118.98499999999993,39.95799999999998,1,707
413185000,118.93499999999993,39.91799999999998,1,687
413185000,118.88499999999993,39.87799999999998,1,667
413185000,118.83499999999994,39.83799999999998,1,647
413185000,118.78499999999994,39.79799999999998,1,627
413185000,118.73499999999994,39.75799999999998,1,607
413185000,118.68499999999995,39.71799999999998,1,587
413185000,118.63499999999995,39.67799999999998,1,567
413185000,118.58499999999995,39.637999999999984,1,547
413185000,118.53499999999995,39.597999999999985,1,527
413185000,118.48499999999996,39.557999999999986,1,507
413185000,118.43499999999996,39.51799999999999,1,487
413185000,118.38499999999996,39.47799999999999,1,467
413185000,118.33499999999997,39.43799999999999,1,447
413185000,118.28499999999997,39.39799999999999,1,427
413185000,118.23499999999997,39.35799999999999,1,407
413185000,118.18499999999997,39.31799999999999,1,387
413185000,118.13499999999998,39.27799999999999,1,367
413185000,118.08499999999998,39.23799999999999,1,347
413185000,118.03499999999998,39.19799999999999,1,327
413185000,117.98499999999999,39.157999999999994,1,307
413185000,117.93499999999999,39.117999999999995,1,287
413185000,117.88499999999999,39.077999999999996,1,267
413185000,117.835,39.038,1,247
413185000,117.785,38.998,1,227
413185000,117.735,38.958,1,207
413185000,117.735,38.958,1,4
413185000,117.735,38.958,1,16
413185000,117.736,38.958,1,19
413185000,117.736,38.958,1,42
413185000,117.736,38.958,1,2
413185000,117.73700000000001,38.958,1,16
413185000,117.73700000000001,38.958,1,21
413185000,117.738,38.958,1,20
413185000,117.738,38.958,1,4
413185000,117.738,38.958,1,15
413185000,117.738,38.958,1,21
413185000,117.73899999999999,38.958,1,20
413185000,117.73899999999999,38.958,1,19
413185000,117.74,38.958,1,22
413185000,117.74,38.958,1,20
413185000,117.74,38.958,1,2
413185000,117.741,38.957,1,37
413185000,117.742,38.957,1,20
413185000,117.742,38.957,1,4
413185000,117.743,38.957,1,15
413185000,117.743,38.957,1,21
413185000,117.744,38.957,1,21
413185000,117.745,38.955999999999996,1,18
413185000,117.74600000000001,38.955999999999996,1,21
413185000,117.74700000000001,38.955999999999996,1,21
413185000,117.74700000000001,38.955999999999996,1,6
413185000,117.74799999999999,38.955999999999996,1,12
413185000,117.749,38.955,1,21
413185000,117.75,38.955,1,19
413185000,117.751,38.955,1,20
413185000,117.751,38.955,1,4
413185000,117.75200000000001,38.955,1,18
413185000,117.75299999999999,38.954,1,18
413185000,117.755,38.954,1,41
413185000,117.756,38.953,1,19
413185000,117.758,38.953,1,20
413185000,117.759,38.953,1,20
413185000,117.759,38.953,1,6
413185000,117.76,38.952,1,13
413185000,117.76100000000001,38.952,1,22
413185000,117.76299999999999,38.952,1,20
413185000,117.76299999999999,38.952,1,2
